time,CWND
149.410064,1.00
149.426065,2.00
149.439556,2.50
149.439784,3.00
149.454424,3.50
149.455349,4.00
150.071290,1.00
150.399903,1.00
150.454182,1.00
150.455358,1.00
150.455433,1.00
151.072142,1.00
151.083379,2.00
151.097935,2.50
151.098891,3.00
151.580507,1.00
151.592827,2.00
151.844238,1.00
152.099741,1.00
152.099942,1.00
152.844878,1.00
153.100431,1.00
153.100574,1.00
153.111177,2.00
154.112321,1.00
154.112502,1.00
154.112575,1.00
154.124190,2.00
154.140203,2.50
154.513793,1.00
154.723272,1.00
155.015334,1.00
155.515212,1.00
155.526998,2.00
156.527552,1.00
156.527676,1.00
156.527718,1.00
156.543186,2.00
156.543391,2.50
156.557967,3.00
156.559053,3.50
156.571692,4.00
156.583829,4.50
156.584649,5.00
156.586824,5.50
156.719957,1.00
156.732183,2.00
156.804966,1.00
156.916044,1.00
157.081380,1.00
157.093326,2.00
158.073656,1.00
158.093087,1.00
158.093355,1.00
159.075567,1.00
159.092938,1.00
159.093083,1.00
160.077265,1.00
160.092657,1.00
160.092860,1.00
161.078732,1.00
161.092102,1.00
161.092253,1.00
161.103852,2.00
162.105094,1.00
162.105188,1.00
162.105218,1.00
162.121273,2.00
163.106591,1.00
163.120941,1.00
163.121097,1.00
163.132450,2.00
164.134007,1.00
164.134141,1.00
164.134171,1.00
165.135281,1.00
165.135377,1.00
165.135415,1.00
165.147007,2.00
165.160820,2.50
165.161042,3.00
165.174466,3.50
165.174704,4.00
165.187869,4.50
165.190827,5.00
165.192167,5.50
165.200778,6.00
165.527976,1.00
165.700920,1.00
165.954981,1.00
165.972601,2.00
166.202086,1.00
166.972930,1.00
166.973095,1.00
166.985519,2.00
167.974434,1.00
167.984830,1.00
167.984995,1.00
168.976122,1.00
168.984357,1.00
168.984533,1.00
168.995961,2.00
169.997334,1.00
169.997637,1.00
169.997719,1.00
170.009052,2.00
170.020964,1.00
170.022076,2.00
171.009333,1.00
171.009534,1.00
171.021736,1.00
172.011142,1.00
172.011321,1.00
172.021529,1.00
172.022883,2.00
173.013186,1.00
173.021510,1.00
173.022780,1.00
173.029412,2.00
